customerid,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,loan_default,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,bank_branch_clients,level_of_education_clients,age,gender,prev_loan_count,avg_prev_loan_amount,avg_prev_term,monthly_income,debt_to_income_ratio,credit_score,num_credit_cards,past_due_days,missed_payments_6mo,marital_status_Married,marital_status_Single,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_Unemployed,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,marital_status,employment_status_clients,loan_purpose,loan_to_income_ratio,risk_band,payment_behavior_score
8a2a81a74ce8c05d014cfb32a0da1049,301994762,12,2017-07-25 08:22:56,2017-07-25 07:22:47,30000.0,34500.0,30,0,Other,3.4320102,6.4330553,Diamond Bank,Unknown,Post-Graduate,53.0,1,11.0,18181.81818181818,30.0,451024.25491007615,0.6726256490162031,437,5,65,2,False,False,True,False,False,False,False,False,False,False,False,Married,Permanent,Car,0.06651526979625809,High Risk,10.5
8a85886e54beabf90154c0a29ae757c0,301965204,2,2017-07-05 17:04:41,2017-07-05 16:04:18,15000.0,17250.0,30,0,Savings,3.885298,7.3207003,GT Bank,"DUGBE,IBADAN",Graduate,40.0,0,0.0,10000.0,27.857142857142858,496940.2903231635,0.40504684925577306,567,2,71,3,False,True,True,False,False,False,False,False,True,False,False,Single,Permanent,Education,0.030184712916405718,High Risk,13.100000000000001
8a8588f35438fe12015444567666018e,301966580,7,2017-07-06 14:52:57,2017-07-06 13:52:51,20000.0,22250.0,15,0,Other,11.1393496,10.2920413,EcoBank,Unknown,Uneducated,41.0,0,6.0,10000.0,17.5,278892.38100386923,0.6764927946975561,424,4,25,5,False,False,True,False,False,False,False,False,False,False,True,Married,Permanent,Medical,0.07171224946343202,High Risk,12.5
8a85890754145ace015429211b513e16,301999343,3,2017-07-27 19:00:41,2017-07-27 18:00:35,10000.0,11500.0,15,0,Savings,3.9857698,7.4917081,First Bank,Unknown,Uneducated,48.0,1,2.0,10000.0,22.5,171561.13649361403,0.2343381408832489,729,6,68,2,True,False,True,False,False,False,False,False,False,False,False,Married,Permanent,Car,0.058288259243212855,Medium Risk,10.8
8a858970548359cc0154883481981866,301962360,9,2017-07-03 23:42:45,2017-07-03 22:42:39,40000.0,44000.0,30,0,Other,7.4579127,9.0765736,GT Bank,Unknown,Primary,39.0,0,8.0,18750.0,37.5,205263.76695556965,0.6079389344419562,362,6,25,6,False,True,True,False,False,False,False,True,False,False,False,Single,Permanent,Car,0.1948712166461322,High Risk,14.5
8a858e095c59b91b015c5e5cea3719bc,301972027,3,2017-07-10 19:25:33,2017-07-10 18:25:28,10000.0,13000.0,30,0,Savings,3.2594445,6.5570112,GT Bank,Unknown,Uneducated,36.0,1,2.0,10000.0,22.5,190294.25578333862,0.704218419146276,569,5,36,1,False,False,True,False,False,False,False,True,False,False,False,Married,Permanent,Car,0.052550193692581015,High Risk,5.6
8a858e1158dc4d830158f7bde4f47ea7,301994428,10,2017-07-24 23:42:27,2017-07-24 22:42:21,30000.0,34500.0,30,0,Savings,6.1780556,5.4257996,First Bank,Unknown,Uneducated,38.0,1,9.0,20000.0,23.333333333333332,141447.3931145725,0.10789994322527702,497,1,27,3,True,False,False,False,False,False,True,True,False,False,False,Married,Unemployed,Car,0.21209298622916278,High Risk,8.7
8a858e185b4923b4015b4ae48d28646a,301996687,4,2017-07-26 10:53:05,2017-07-26 09:52:57,10000.0,11500.0,15,0,Savings,3.3965242,6.6279429,GT Bank,Unknown,Uneducated,38.0,0,3.0,10000.0,15.0,75870.94278751634,0.6713611347319878,617,4,20,0,False,True,True,False,False,False,False,False,False,False,True,Single,Permanent,Medical,0.13180276443915998,High Risk,2.0
8a858e1d5cd58f9e015ceda4bdb63673,301981931,2,2017-07-17 13:48:42,2017-07-17 12:48:35,10000.0,11500.0,15,0,Savings,3.2858723,6.5824439,Access Bank,Unknown,Uneducated,41.0,0,1.0,10000.0,15.0,300494.5176186898,0.3877004737394122,462,6,8,6,True,False,False,False,False,False,True,False,True,False,False,Married,Unemployed,Education,0.03327847735541526,High Risk,12.8
8a858e245c214660015c2ba8187976f7,301962365,2,2017-07-03 23:49:10,2017-07-03 22:49:03,10000.0,13000.0,30,0,Savings,7.1233193,4.8834997,EcoBank,Unknown,Uneducated,42.0,1,1.0,10000.0,15.0,67834.75361738802,0.5220377392942727,426,3,12,3,True,False,True,False,False,False,False,False,True,False,False,Married,Permanent,Education,0.1474170608240657,High Risk,7.2
8a858e345bd96da8015be6b9f8bc10c7,301960371,3,2017-07-02 21:59:20,2017-07-02 20:59:14,10000.0,13000.0,30,1,Savings,3.8210848,7.3326277,GT Bank,Unknown,Uneducated,37.0,0,2.0,10000.0,22.5,286701.992133316,0.6576315569236864,847,3,28,4,False,False,True,False,False,False,False,False,False,True,False,Married,Permanent,Home,0.034879422795744006,High Risk,10.8
8a858e395cb1d4d9015cb236b4811cbc,301999914,2,2017-07-28 07:15:32,2017-07-28 06:15:25,10000.0,11500.0,15,0,Savings,3.1727935,6.6832653,First Bank,Unknown,Uneducated,60.0,0,1.0,10000.0,30.0,380523.40830246836,0.8677806452602866,465,4,38,5,True,False,False,False,False,False,True,False,True,False,False,Married,Unemployed,Education,0.026279592219071196,High Risk,13.8
8a858e4456ced8470156dc8f1f4038d3,301995555,11,2017-07-25 16:13:30,2017-07-25 15:13:23,40000.0,44000.0,30,0,Other,3.3022556,6.636865,UBA,Unknown,Uneducated,48.0,0,10.0,24000.0,28.5,336500.3099799614,0.4447060701501607,562,3,86,5,True,False,True,False,False,False,False,False,False,True,False,Married,Permanent,Home,0.11887061858095167,High Risk,18.6
8a858e5357d823010157d932443d28a3,301983540,13,2017-07-18 11:00:05,2017-07-18 09:59:56,40000.0,44000.0,30,0,Other,3.3526543,6.456209,First Bank,Unknown,Uneducated,46.0,0,12.0,21666.666666666668,22.5,463129.95460563846,0.2498680018475402,514,5,39,4,True,False,False,False,True,False,False,False,False,False,True,Married,Self-Employed,Medical,0.08636884658877345,High Risk,11.9
8a858e5b5bd99460015bdf725e143ff4,301967889,3,2017-07-07 12:20:59,2017-07-07 11:20:50,10000.0,13000.0,30,0,Savings,3.70037,7.3943183,Access Bank,Unknown,Uneducated,41.0,1,2.0,10000.0,30.0,432498.67743923864,0.5675957227382343,558,3,61,2,True,False,True,False,False,False,False,False,False,True,False,Married,Permanent,Home,0.02312145798735972,High Risk,10.100000000000001
8a858e645755e62201576b58e3522081,301958834,3,2017-07-01 11:44:57,2017-07-01 10:44:51,10000.0,11500.0,15,0,Other,3.3718018,6.5169394,UBA,Unknown,Uneducated,44.0,0,2.0,10000.0,22.5,476322.93354846665,0.3854313429151951,698,4,22,6,False,True,True,False,False,False,False,True,False,False,False,Single,Permanent,Car,0.020994160254898756,High Risk,14.2
8a858e6c5bd3fbff015bd408ac3e067a,301993535,2,2017-07-24 14:37:13,2017-07-24 13:37:06,10000.0,11500.0,15,1,Savings,3.3661119,6.5975949,GT Bank,Unknown,Uneducated,43.0,1,1.0,10000.0,15.0,289781.7023118392,0.3346110963055722,338,1,58,1,False,False,False,False,False,False,True,True,False,False,False,Married,Unemployed,Car,0.03450873509342154,High Risk,7.800000000000001
8a858e705668e16701567f1523211e5a,301985106,15,2017-07-19 08:17:32,2017-07-19 07:17:24,40000.0,44000.0,30,0,Savings,3.4296003,6.4530244,Diamond Bank,Unknown,Uneducated,49.0,1,14.0,26428.571428571428,23.571428571428573,223252.6188147844,0.2894012331022465,308,5,82,2,True,False,True,False,False,False,False,True,False,False,False,Married,Permanent,Car,0.17916923085764533,High Risk,12.200000000000001
8a858e7d595026f8015951c0c4a03fae,301959458,10,2017-07-01 21:50:24,2017-07-01 20:50:19,30000.0,34500.0,30,0,Savings,7.8876376,8.8351164,Diamond Bank,Unknown,Uneducated,39.0,1,9.0,20000.0,20.0,313206.56136781006,0.5475114961577621,352,1,36,0,False,True,True,False,False,False,False,False,True,False,False,Single,Permanent,Education,0.09578343400274393,High Risk,3.6
8a858e885c17687c015c19eead6338fd,301964283,3,2017-07-05 07:34:08,2017-07-05 06:34:02,10000.0,13000.0,30,0,Savings,3.345346,6.5617308,GT Bank,Unknown,Uneducated,47.0,1,2.0,10000.0,30.0,246442.74982925708,0.7338661022626466,302,3,20,5,False,True,True,False,False,False,False,False,False,False,True,Single,Permanent,Medical,0.04057737550375615,High Risk,12.0
8a858e8f5d41c974015d4b7f31865627,302003432,2,2017-07-30 13:26:07,2017-07-30 12:25:59,10000.0,11500.0,15,1,Savings,3.5246642,6.6592427,First Bank,Unknown,Uneducated,32.0,0,1.0,10000.0,15.0,273917.8768518313,0.797862531906428,432,6,36,6,True,False,True,False,False,False,False,False,False,True,False,Married,Permanent,Home,0.036507292313050596,High Risk,15.6
